customer_id,name,total_balance,total_interest,account_count,risk_flag
1,Yash Shankar,362578.0,5249.02,4,NORMAL
2,Vedant Chawla,619209.0,9357.27,3,NORMAL
3,Pushti Khalsa,789195.0,22862.370000000003,2,NORMAL
4,Utkarsh Vala,409976.0,4099.76,1,NORMAL
5,Balvan Mannan,260203.0,2602.03,1,NORMAL
6,Inaya Ramakrishnan,366669.0,14666.76,1,NORMAL
8,Wriddhish Pandey,1048992.0,29424.72,5,VIP
9,Harish Mammen,1552065.0,62082.600000000006,4,VIP
10,Devansh Pau,661831.0,26473.24,3,NORMAL
11,Urishilla Bhargava,821113.0,9695.05,3,NORMAL
12,Lavanya Bhat,1728466.0,21750.28,6,VIP
16,Vinaya Khanna,523064.0,14114.6,2,NORMAL
17,Kala Muni,340327.0,4476.1,2,NORMAL
18,David Verma,523239.0,13634.79,2,NORMAL
19,Ishani Raman,183990.0,1839.9,1,NORMAL
20,Ekaraj Banik,727374.0,10222.53,4,NORMAL
21,Janaki Khurana,603983.0,6039.83,2,NORMAL
22,Kavya Sur,213710.0,2137.1,1,NORMAL
23,Amol Ratti,162266.0,1622.66,1,NORMAL
24,Kabir Tiwari,263722.0,7577.02,2,NORMAL
25,Upma Chawla,80984.0,3239.36,1,NORMAL
26,Bahadurjit Ghose,787688.0,31507.52,2,NORMAL
28,Oliver More,1113245.0,30404.63,3,VIP
29,Imaran Som,453870.0,10967.76,3,NORMAL
30,Geetika Mandal,819666.0,32786.64,2,NORMAL
31,Chanchal Tiwari,863654.0,17666.27,4,NORMAL
32,Vansha Chahal,541045.0,21641.800000000003,2,NORMAL
33,Raagini Bali,272373.0,10894.92,1,NORMAL
34,Kabir Shroff,371257.0,3712.57,1,NORMAL
35,Warinder Sami,241248.0,2412.48,1,NORMAL
36,Madhav Nori,422801.0,5405.9,2,NORMAL
38,Warjas Kurian,783494.0,21235.43,3,NORMAL
39,Devika Dasgupta,225942.0,2259.42,1,NORMAL
40,Chakrika Sani,6276.0,62.76,1,NORMAL
46,Omaja Gour,1005668.0,25924.04,3,VIP
48,Wakeeta More,349169.0,13966.76,1,NORMAL
49,Rachana Kalita,115322.0,4612.88,1,NORMAL
50,William De,107214.0,4288.56,1,NORMAL
51,Patrick Verma,628336.0,14866.99,3,NORMAL
52,Kabir Arya,339390.0,13575.6,1,NORMAL
54,Wridesh Khanna,711684.0,28467.36,2,NORMAL
55,Daksh Ranganathan,460595.0,9707.18,2,NORMAL
57,Aarav Bahri,142109.0,5684.36,1,NORMAL
58,Niharika Venkatesh,44005.0,1760.2,1,NORMAL
59,Advay Varghese,320184.0,6282.72,3,NORMAL
61,Dayita Mall,412066.0,4120.66,1,NORMAL
63,Hemal Dara,306581.0,9547.82,2,NORMAL
64,Nitara Chawla,9713.0,388.52,1,NORMAL
66,Simon Singhal,869925.0,34797.0,4,NORMAL
67,Matthew Narain,221642.0,2216.42,1,NORMAL
68,Dipta Varkey,390774.0,3907.7400000000002,1,NORMAL
69,Tejas Kara,838549.0,26677.42,3,NORMAL
72,Balendra Dash,841982.0,21244.309999999998,3,NORMAL
74,Warjas Khosla,315662.0,3156.62,1,NORMAL
76,Chanchal Kalla,1281160.0,38626.18,4,VIP
77,Ayushman Rama,146206.0,1462.06,1,NORMAL
78,Hema Mishra,481957.0,4819.57,1,NORMAL
81,Dalbir Chandra,263538.0,3908.4,2,NORMAL
82,Chatura Mandal,182495.0,7299.8,1,NORMAL
83,Advik Gour,612750.0,6127.5,2,NORMAL
84,Tarak Kapur,376315.0,15052.6,1,NORMAL
85,Yauvani Varty,415583.0,16623.32,1,NORMAL
86,Abeer Andra,359476.0,9075.34,2,NORMAL
87,Sanya Kumar,521627.0,16903.73,2,NORMAL
88,Dalbir Bedi,151131.0,6045.24,1,NORMAL
89,Bhanumati Agarwal,378548.0,15141.92,1,NORMAL
90,Ubika Keer,448899.0,4488.99,3,NORMAL
91,Vaishnavi Gera,784443.0,31377.72,3,NORMAL
92,Rudra Borra,637499.0,12052.34,2,NORMAL
94,Harsh Ramachandran,915844.0,32540.41,4,NORMAL
96,Manya Om,191548.0,1915.48,1,NORMAL
97,Christopher Vohra,432291.0,17291.64,1,NORMAL
98,Wridesh Varty,1120091.0,40689.44,4,VIP
99,Laksh Ben,405175.0,14572.78,3,NORMAL
101,Siddharth Jani,32189.0,321.89,1,NORMAL
102,Vincent Tiwari,46338.0,1853.52,1,NORMAL
103,Yash Palan,1118683.0,16418.56,3,VIP
104,Rohan Madan,754348.0,30173.92,3,NORMAL
105,Omisha Bhatti,230402.0,9216.08,1,NORMAL
106,Harish Sampath,685825.0,27433.0,2,NORMAL
107,Wishi Mitra,903009.0,28092.48,4,NORMAL
108,Anay Jani,228657.0,9146.28,1,NORMAL
109,Krish Bal,495734.0,5648.36,2,NORMAL
110,Aayush Rajan,345311.0,12789.68,2,NORMAL
111,Eesha Natarajan,1180102.0,20649.97,3,VIP
112,Triveni Raman,708120.0,18600.600000000002,2,NORMAL
113,Lipika Sha,225585.0,2255.85,2,NORMAL
115,Logan Kurian,423432.0,16937.28,1,NORMAL
116,Arya Tara,403081.0,16123.24,1,NORMAL
117,Eiravati Chaudry,842131.0,20537.83,3,NORMAL
119,Imaran Kumar,254294.0,10171.76,1,NORMAL
120,Chasmum Samra,447110.0,4471.1,2,NORMAL
121,Tara Chaudhary,798370.0,19326.88,2,NORMAL
122,Abhimanyu Mangat,160800.0,6432.0,2,NORMAL
123,Ucchal Dubey,1182123.0,21341.85,4,VIP
124,Viraj Pillay,874975.0,21353.41,2,NORMAL
125,Jagrati Dugar,138368.0,5534.72,1,NORMAL
126,Jyoti Andra,789942.0,23476.23,3,NORMAL
127,Vanya Choudhry,321557.0,12862.28,1,NORMAL
129,Ishita Pathak,484247.0,19369.88,1,NORMAL
130,Oviya Pal,32317.0,323.17,1,NORMAL
131,Mahika Balay,392563.0,3925.63,1,NORMAL
132,Jeet Kota,552532.0,5525.32,2,NORMAL
133,Yatan Doctor,251389.0,2513.8900000000003,2,NORMAL
134,Wishi Kamdar,170627.0,1706.27,1,NORMAL
135,Ishaan Bail,252317.0,10092.68,1,NORMAL
137,Yatin Nori,643364.0,24827.15,3,NORMAL
138,Rajata D’Alia,394031.0,11307.53,2,NORMAL
139,Rajeshri Kala,362412.0,3624.12,1,NORMAL
140,Nikita Sami,932386.0,20915.23,3,NORMAL
141,Jyoti Pant,154667.0,6186.68,1,NORMAL
142,Nidhi Parmer,452262.0,4522.62,1,NORMAL
143,Falguni Andra,20848.0,208.48000000000002,1,NORMAL
144,Raghav Sankar,1012909.0,18984.879999999997,3,VIP
145,Mahika Taneja,211937.0,8477.48,1,NORMAL
146,Yashodhara Yogi,1362743.0,33005.48,4,VIP
147,Rayaan Dhaliwal,72457.0,724.57,1,NORMAL
150,Arjun Ganguly,1170835.0,31893.070000000003,3,VIP
152,Girish Chander,825692.0,11033.33,3,NORMAL
158,Arin Rau,64764.0,2590.56,1,NORMAL
160,Yutika Gaba,917277.0,23000.73,3,NORMAL
161,Jatin Raj,279493.0,2794.9300000000003,2,NORMAL
162,Sneha Nadig,188070.0,1880.7,1,NORMAL
163,Champak Sinha,513047.0,5130.47,2,NORMAL
164,Manbir Majumdar,848014.0,23169.31,2,NORMAL
165,Imaran Tata,106323.0,1063.23,1,NORMAL
166,Yashica Vala,284663.0,11386.52,1,NORMAL
167,Urvi Chaudhari,517208.0,17093.239999999998,3,NORMAL
168,Prisha Das,408237.0,16329.48,2,NORMAL
169,Kiaan Seth,905965.0,18365.2,3,NORMAL
171,Kalpit Natt,566761.0,14983.060000000001,2,NORMAL
172,Logan Gour,170054.0,1700.54,1,NORMAL
173,Nitara Sani,497117.0,19884.68,1,NORMAL
174,Omya Oommen,38517.0,1540.68,1,NORMAL
176,Ayush Varty,301084.0,3010.84,1,NORMAL
177,Manbir Bakshi,202502.0,8100.08,1,NORMAL
178,Dalbir Ghosh,362164.0,3621.64,2,NORMAL
180,Faris Dey,285972.0,11438.880000000001,2,NORMAL
181,Dhruv Sha,324059.0,3240.59,1,NORMAL
183,Rajeshri Ghosh,985197.0,9851.970000000001,2,NORMAL
184,Anusha Chana,578999.0,14193.32,2,NORMAL
189,Wahab Chanda,231486.0,7390.95,2,NORMAL
190,Aarini Kannan,495657.0,14760.480000000001,2,NORMAL
191,Zehaan Sarna,204574.0,8182.96,1,NORMAL
192,Hemang Raghavan,389726.0,15589.04,1,NORMAL
193,Riya Sur,24194.0,967.76,1,NORMAL
194,Omisha Chand,934147.0,29573.26,4,NORMAL
195,Mugdha Panchal,386490.0,13602.15,2,NORMAL
196,Gagan Khanna,487590.0,19503.6,2,NORMAL
197,Gavin Shah,467670.0,4676.700000000001,2,NORMAL
198,Warda Goyal,308048.0,3080.48,2,NORMAL
200,Karan Talwar,649757.0,25990.28,2,NORMAL
201,Geetika Raval,1176146.0,33160.94,4,VIP
202,Radhika Sangha,475945.0,14377.660000000002,3,NORMAL
203,Thomas Jani,561998.0,16509.5,3,NORMAL
205,Teerth Nazareth,437703.0,15843.480000000001,3,NORMAL
206,Rajeshri Bora,424081.0,4240.81,1,NORMAL
207,Jhalak Thaker,607507.0,24300.28,3,NORMAL
208,Yagnesh Chokshi,12709.0,508.36,1,NORMAL
209,Ijaya Gaba,1600261.0,39308.47,5,VIP
210,Vaishnavi Prabhu,136398.0,1363.98,1,NORMAL
211,Veda Lall,268159.0,2681.59,1,NORMAL
212,Qadim Majumdar,789611.0,7896.11,2,NORMAL
213,Janya Vasa,505776.0,20231.04,2,NORMAL
214,Zehaan Chandra,296652.0,11866.08,1,NORMAL
216,Osha Kurian,645829.0,6458.29,2,NORMAL
217,Adweta Parsa,461937.0,18477.48,2,NORMAL
218,Mitali Ravel,1298840.0,22657.550000000003,4,VIP
219,Sanaya Khurana,530839.0,10054.720000000001,2,NORMAL
220,Leena Kadakia,850076.0,16484.63,3,NORMAL
222,Divya Wason,637404.0,18067.5,2,NORMAL
224,Yashoda Kamdar,614151.0,15133.380000000001,2,NORMAL
225,Omkaar Dua,914242.0,22869.940000000002,3,NORMAL
226,Advika Ramachandran,391654.0,3916.54,1,NORMAL
227,Urvashi Dar,632211.0,18161.460000000003,4,NORMAL
228,Vinaya Saini,853163.0,8531.630000000001,2,NORMAL
230,Vyanjana Parmar,486977.0,13914.53,2,NORMAL
231,Indali Gala,197858.0,1978.5800000000002,1,NORMAL
232,Robert Cherian,558095.0,12032.51,2,NORMAL
233,Sara Korpal,98316.0,3932.64,1,NORMAL
235,Bimala Nayak,657717.0,16341.810000000001,2,NORMAL
236,Charvi Dugar,262473.0,10498.92,1,NORMAL
237,Harshil Rajagopal,265963.0,10638.52,1,NORMAL
238,Falak Thakur,618423.0,24736.92,3,NORMAL
239,Krish Mall,108547.0,1566.22,2,NORMAL
