customer_id,name,city
1,Yash Shankar,Nagpur
2,Vedant Chawla,Patna
3,Pushti Khalsa,Muzaffarnagar
4,Utkarsh Vala,Korba
5,Balvan Mannan,Kochi
6,Inaya Ramakrishnan,Amroha
7,Bhanumati Majumdar,Bellary
8,Wriddhish Pandey,Kollam
9,Harish Mammen,New Delhi
10,Devansh Pau,Arrah
11,Urishilla Bhargava,Cuttack
12,Lavanya Bhat,Sagar
13,Bina Ramanathan,Shahjahanpur
14,Teerth Patil,Erode
15,Yahvi Bal,Tinsukia
16,Vinaya Khanna,Mangalore
17,Kala Muni,Ambattur
18,David Verma,Varanasi
19,Ishani Raman,Ghaziabad
20,Ekaraj Banik,Nashik
21,Janaki Khurana,Mau
22,Kavya Sur,Narasaraopet
23,Amol Ratti,Etawah
24,Kabir Tiwari,North Dumdum
25,Upma Chawla,Tezpur
26,Bahadurjit Ghose,Tirunelveli
27,Amaira Gopal,Ajmer
28,Oliver More,Gandhidham
29,Imaran Som,Meerut
30,Geetika Mandal,Giridih
31,Chanchal Tiwari,Narasaraopet
32,Vansha Chahal,Nangloi Jat
33,Raagini Bali,Thoothukudi
34,Kabir Shroff,Jehanabad
35,Warinder Sami,Vellore
36,Madhav Nori,Pimpri-Chinchwad
37,Vasana Issac,Srikakulam
38,Warjas Kurian,Hapur
39,Devika Dasgupta,Bilaspur
40,Chakrika Sani,Khandwa
41,Owen Kulkarni,Anand
42,Krishna Chandra,Tumkur
43,Darpan Nanda,Kirari Suleman Nagar
44,Bhavika Sheth,Bhiwandi
45,Hritik Khanna,Ratlam
46,Omaja Gour,Navi Mumbai
47,Lakshit Rana,Miryalaguda
48,Wakeeta More,Morena
49,Rachana Kalita,Mathura
50,William De,Katni
51,Patrick Verma,Vadodara
52,Kabir Arya,Hazaribagh
53,Girish Banik,Karaikudi
54,Wridesh Khanna,Siliguri
55,Daksh Ranganathan,New Delhi
56,Jackson Mohan,Shivpuri
57,Aarav Bahri,Coimbatore
