customer_id,name,total_balance,total_interest,account_count
2,Vedant Chawla,619209.0,9357.27,3
3,Pushti Khalsa,789195.0,22862.370000000003,2
8,Wriddhish Pandey,1048992.0,29424.72,5
9,Harish Mammen,1552065.0,62082.600000000006,4
10,Devansh Pau,661831.0,26473.24,3
11,Urishilla Bhargava,821113.0,9695.05,3
12,Lavanya Bhat,1728466.0,21750.28,6
16,Vinaya Khanna,523064.0,14114.6,2
18,David Verma,523239.0,13634.79,2
20,Ekaraj Banik,727374.0,10222.53,4
21,Janaki Khurana,603983.0,6039.83,2
26,Bahadurjit Ghose,787688.0,31507.52,2
28,Oliver More,1113245.0,30404.63,3
30,Geetika Mandal,819666.0,32786.64,2
31,Chanchal Tiwari,863654.0,17666.27,4
32,Vansha Chahal,541045.0,21641.800000000003,2
38,Warjas Kurian,783494.0,21235.43,3
46,Omaja Gour,1005668.0,25924.04,3
51,Patrick Verma,628336.0,14866.99,3
54,Wridesh Khanna,711684.0,28467.36,2
66,Simon Singhal,869925.0,34797.0,4
69,Tejas Kara,838549.0,26677.42,3
72,Balendra Dash,841982.0,21244.309999999998,3
76,Chanchal Kalla,1281160.0,38626.18,4
83,Advik Gour,612750.0,6127.5,2
87,Sanya Kumar,521627.0,16903.73,2
91,Vaishnavi Gera,784443.0,31377.72,3
92,Rudra Borra,637499.0,12052.34,2
94,Harsh Ramachandran,915844.0,32540.41,4
98,Wridesh Varty,1120091.0,40689.44,4
103,Yash Palan,1118683.0,16418.56,3
104,Rohan Madan,754348.0,30173.92,3
106,Harish Sampath,685825.0,27433.0,2
107,Wishi Mitra,903009.0,28092.48,4
111,Eesha Natarajan,1180102.0,20649.97,3
112,Triveni Raman,708120.0,18600.600000000002,2
117,Eiravati Chaudry,842131.0,20537.83,3
121,Tara Chaudhary,798370.0,19326.88,2
123,Ucchal Dubey,1182123.0,21341.85,4
124,Viraj Pillay,874975.0,21353.41,2
126,Jyoti Andra,789942.0,23476.23,3
132,Jeet Kota,552532.0,5525.32,2
137,Yatin Nori,643364.0,24827.15,3
140,Nikita Sami,932386.0,20915.23,3
144,Raghav Sankar,1012909.0,18984.879999999997,3
146,Yashodhara Yogi,1362743.0,33005.48,4
150,Arjun Ganguly,1170835.0,31893.070000000003,3
152,Girish Chander,825692.0,11033.33,3
160,Yutika Gaba,917277.0,23000.73,3
163,Champak Sinha,513047.0,5130.47,2
164,Manbir Majumdar,848014.0,23169.31,2
167,Urvi Chaudhari,517208.0,17093.239999999998,3
169,Kiaan Seth,905965.0,18365.2,3
171,Kalpit Natt,566761.0,14983.060000000001,2
183,Rajeshri Ghosh,985197.0,9851.970000000001,2
184,Anusha Chana,578999.0,14193.32,2
194,Omisha Chand,934147.0,29573.26,4
200,Karan Talwar,649757.0,25990.28,2
201,Geetika Raval,1176146.0,33160.94,4
203,Thomas Jani,561998.0,16509.5,3
207,Jhalak Thaker,607507.0,24300.28,3
209,Ijaya Gaba,1600261.0,39308.47,5
212,Qadim Majumdar,789611.0,7896.11,2
213,Janya Vasa,505776.0,20231.04,2
216,Osha Kurian,645829.0,6458.29,2
218,Mitali Ravel,1298840.0,22657.550000000003,4
219,Sanaya Khurana,530839.0,10054.720000000001,2
220,Leena Kadakia,850076.0,16484.63,3
222,Divya Wason,637404.0,18067.5,2
224,Yashoda Kamdar,614151.0,15133.380000000001,2
225,Omkaar Dua,914242.0,22869.940000000002,3
227,Urvashi Dar,632211.0,18161.460000000003,4
228,Vinaya Saini,853163.0,8531.630000000001,2
232,Robert Cherian,558095.0,12032.51,2
235,Bimala Nayak,657717.0,16341.810000000001,2
238,Falak Thakur,618423.0,24736.92,3
240,Mohini Bhatnagar,904442.0,22118.84,3
242,Pranav Kade,579639.0,5796.39,3
249,Chanchal Jani,638850.0,25554.0,4
251,Libni Dalal,677629.0,12184.42,2
258,Nachiket Patil,655440.0,6554.4,2
259,Yadavi Mohanty,1368706.0,32974.42,6
266,Farhan Bir,778138.0,20059.63,2
271,Umang Badal,973139.0,24712.370000000003,4
272,Agastya Chaudhari,507752.0,16833.350000000002,2
274,Girish Salvi,1197453.0,24691.08,3
275,Nitara Saran,784889.0,31395.559999999998,3
277,Kai Hora,1406638.0,29689.39,4
278,Om Raghavan,537749.0,21509.96,2
280,Anmol Kaul,891518.0,16954.61,3
281,Pallavi Ray,1116663.0,44666.52,4
284,Yatin Shetty,717145.0,28685.8,2
290,Aarav Gokhale,711535.0,21722.95,2
295,Ekalinga Mane,792888.0,19222.260000000002,2
300,Anita Acharya,801459.0,17219.22,4
305,Nakul Nori,1268036.0,26974.52,4
307,Tara Kalla,773226.0,30929.04,2
